result = inputNumber=846, squareRes=29.086079144497972, delay=159, status=PASS
result = inputNumber=973, squareRes=31.192947920964443, delay=174, status=PASS
result = inputNumber=541, squareRes=23.259406699226016, delay=174, status=PASS
result = inputNumber=291, squareRes=17.05872210923198, delay=177, status=PASS
result = inputNumber=635, squareRes=25.199206336708304, delay=178, status=PASS
result = inputNumber=9, squareRes=3.0, delay=178, status=PASS
result = inputNumber=730, squareRes=27.018512172212592, delay=178, status=PASS
result = inputNumber=598, squareRes=24.454038521274967, delay=180, status=PASS
result = inputNumber=264, squareRes=16.24807680927192, delay=183, status=PASS
result = inputNumber=65, squareRes=8.06225774829855, delay=184, status=PASS
result = inputNumber=925, squareRes=30.4138126514911, delay=186, status=PASS
result = inputNumber=926, squareRes=30.430248109405877, delay=189, status=PASS
result = inputNumber=73, squareRes=8.54400374531753, delay=147, status=PASS
result = inputNumber=588, squareRes=24.24871130596428, delay=192, status=PASS
result = inputNumber=126, squareRes=11.224972160321824, delay=169, status=PASS
result = inputNumber=485, squareRes=22.02271554554524, delay=169, status=PASS
result = inputNumber=605, squareRes=24.596747752497688, delay=174, status=PASS
result = inputNumber=185, squareRes=13.601470508735444, delay=202, status=FAIL
result = inputNumber=157, squareRes=12.529964086141668, delay=202, status=FAIL
result = inputNumber=891, squareRes=29.8496231131986, delay=206, status=FAIL
result = inputNumber=722, squareRes=26.870057685088806, delay=209, status=FAIL
result = inputNumber=599, squareRes=24.474476501040833, delay=211, status=FAIL
result = inputNumber=985, squareRes=31.38470965295043, delay=211, status=FAIL
result = inputNumber=447, squareRes=21.142374511865974, delay=185, status=PASS
result = inputNumber=262, squareRes=16.186414056238647, delay=171, status=PASS
result = inputNumber=959, squareRes=30.967725134404045, delay=173, status=PASS
result = inputNumber=272, squareRes=16.492422502470642, delay=199, status=PASS
result = inputNumber=745, squareRes=27.294688127912362, delay=195, status=PASS
result = inputNumber=195, squareRes=13.96424004376894, delay=197, status=PASS
result = inputNumber=419, squareRes=20.46948949045872, delay=195, status=PASS
result = inputNumber=436, squareRes=20.8806130178211, delay=224, status=FAIL
result = inputNumber=184, squareRes=13.564659966250536, delay=166, status=PASS
result = inputNumber=588, squareRes=24.24871130596428, delay=179, status=PASS
result = inputNumber=296, squareRes=17.204650534085253, delay=183, status=PASS
result = inputNumber=939, squareRes=30.643106892089126, delay=182, status=PASS
result = inputNumber=432, squareRes=20.784609690826528, delay=186, status=PASS
result = inputNumber=100, squareRes=10.0, delay=190, status=PASS
result = inputNumber=700, squareRes=26.457513110645905, delay=187, status=PASS
result = inputNumber=310, squareRes=17.60681686165901, delay=189, status=PASS
result = inputNumber=735, squareRes=27.110883423451916, delay=196, status=PASS
result = inputNumber=702, squareRes=26.49528259898354, delay=198, status=PASS
result = inputNumber=899, squareRes=29.9833287011299, delay=193, status=PASS
result = inputNumber=417, squareRes=20.42057785666214, delay=204, status=FAIL
result = inputNumber=176, squareRes=13.2664991614216, delay=203, status=FAIL
result = inputNumber=184, squareRes=13.564659966250536, delay=205, status=FAIL
result = inputNumber=875, squareRes=29.58039891549808, delay=233, status=FAIL
result = inputNumber=767, squareRes=27.694764848252458, delay=233, status=FAIL
result = inputNumber=944, squareRes=30.72458299147443, delay=233, status=FAIL
result = inputNumber=929, squareRes=30.479501308256342, delay=206, status=FAIL
result = inputNumber=383, squareRes=19.570385790780925, delay=209, status=FAIL
result = inputNumber=374, squareRes=19.339079605813716, delay=208, status=FAIL
result = inputNumber=234, squareRes=15.297058540778355, delay=207, status=FAIL
result = inputNumber=488, squareRes=22.090722034374522, delay=209, status=FAIL
result = inputNumber=568, squareRes=23.83275057562597, delay=212, status=FAIL
result = inputNumber=82, squareRes=9.055385138137417, delay=209, status=FAIL
result = inputNumber=398, squareRes=19.949937343260004, delay=214, status=FAIL
result = inputNumber=321, squareRes=17.916472867168917, delay=215, status=FAIL
result = inputNumber=613, squareRes=24.758836806279895, delay=217, status=FAIL
result = inputNumber=908, squareRes=30.133038346638727, delay=215, status=FAIL
result = inputNumber=799, squareRes=28.26658805020514, delay=210, status=FAIL
result = inputNumber=420, squareRes=20.493901531919196, delay=298, status=FAIL
result = inputNumber=935, squareRes=30.577769702841312, delay=219, status=FAIL
result = inputNumber=111, squareRes=10.535653752852738, delay=223, status=FAIL
result = inputNumber=420, squareRes=20.493901531919196, delay=225, status=FAIL
result = inputNumber=874, squareRes=29.563490998188964, delay=226, status=FAIL
result = inputNumber=594, squareRes=24.372115213907882, delay=226, status=FAIL
result = inputNumber=287, squareRes=16.941074346097416, delay=229, status=FAIL
result = inputNumber=457, squareRes=21.37755832643195, delay=138, status=PASS
result = inputNumber=803, squareRes=28.337254630609507, delay=237, status=FAIL
result = inputNumber=698, squareRes=26.419689627245813, delay=141, status=PASS
result = inputNumber=926, squareRes=30.430248109405877, delay=149, status=PASS
result = inputNumber=403, squareRes=20.074859899884732, delay=152, status=PASS
result = inputNumber=169, squareRes=13.0, delay=259, status=FAIL
result = inputNumber=953, squareRes=30.870698080866262, delay=258, status=FAIL
result = inputNumber=13, squareRes=3.605551275463989, delay=260, status=FAIL
result = inputNumber=647, squareRes=25.436194683953808, delay=162, status=PASS
result = inputNumber=294, squareRes=17.146428199482248, delay=161, status=PASS
result = inputNumber=263, squareRes=16.217274740226856, delay=153, status=PASS
result = inputNumber=931, squareRes=30.512292604784715, delay=266, status=FAIL
result = inputNumber=850, squareRes=29.154759474226502, delay=267, status=FAIL
result = inputNumber=47, squareRes=6.855654600401044, delay=265, status=FAIL
result = inputNumber=612, squareRes=24.73863375370596, delay=147, status=PASS
result = inputNumber=139, squareRes=11.789826122551595, delay=147, status=PASS
result = inputNumber=520, squareRes=22.80350850198276, delay=272, status=FAIL
result = inputNumber=891, squareRes=29.8496231131986, delay=275, status=FAIL
result = inputNumber=875, squareRes=29.58039891549808, delay=274, status=FAIL
result = inputNumber=959, squareRes=30.967725134404045, delay=275, status=FAIL
result = inputNumber=155, squareRes=12.449899597988733, delay=273, status=FAIL
result = inputNumber=85, squareRes=9.219544457292887, delay=278, status=FAIL
result = inputNumber=757, squareRes=27.51363298439521, delay=150, status=PASS
result = inputNumber=114, squareRes=10.677078252031311, delay=282, status=FAIL
result = inputNumber=569, squareRes=23.853720883753127, delay=171, status=PASS
result = inputNumber=57, squareRes=7.54983443527075, delay=286, status=FAIL
result = inputNumber=868, squareRes=29.46183972531247, delay=175, status=PASS
result = inputNumber=515, squareRes=22.693611435820433, delay=162, status=PASS
result = inputNumber=738, squareRes=27.16615541441225, delay=287, status=FAIL
result = inputNumber=14, squareRes=3.7416573867739413, delay=188, status=PASS
result = inputNumber=587, squareRes=24.228082879171435, delay=189, status=PASS
result = inputNumber=813, squareRes=28.513154858766505, delay=155, status=PASS
result = inputNumber=973, squareRes=31.192947920964443, delay=294, status=FAIL
result = inputNumber=386, squareRes=19.6468827043885, delay=292, status=FAIL
result = inputNumber=984, squareRes=31.368774282716245, delay=162, status=PASS
result = inputNumber=307, squareRes=17.52141546793523, delay=296, status=FAIL
result = inputNumber=95, squareRes=9.746794344808963, delay=299, status=FAIL
result = inputNumber=872, squareRes=29.5296461204668, delay=297, status=FAIL
result = inputNumber=138, squareRes=11.74734012447073, delay=183, status=PASS
result = inputNumber=87, squareRes=9.327379053088816, delay=180, status=PASS
result = inputNumber=221, squareRes=14.866068747318506, delay=171, status=PASS
result = inputNumber=44, squareRes=6.6332495807108, delay=301, status=FAIL
result = inputNumber=313, squareRes=17.69180601295413, delay=178, status=PASS
result = inputNumber=682, squareRes=26.115129714401192, delay=212, status=FAIL
result = inputNumber=901, squareRes=30.01666203960727, delay=188, status=PASS
result = inputNumber=186, squareRes=13.638181696985855, delay=302, status=FAIL
result = inputNumber=12, squareRes=3.4641016151377544, delay=291, status=FAIL
result = inputNumber=855, squareRes=29.24038303442689, delay=301, status=FAIL
result = inputNumber=822, squareRes=28.6705423736629, delay=165, status=PASS
result = inputNumber=950, squareRes=30.822070014844883, delay=316, status=FAIL
result = inputNumber=75, squareRes=8.660254037844387, delay=316, status=FAIL
result = inputNumber=661, squareRes=25.709920264364882, delay=317, status=FAIL
result = inputNumber=786, squareRes=28.035691537752374, delay=321, status=FAIL
result = inputNumber=872, squareRes=29.5296461204668, delay=174, status=PASS
result = inputNumber=60, squareRes=7.745966692414834, delay=186, status=PASS
result = inputNumber=477, squareRes=21.840329667841555, delay=185, status=PASS
result = inputNumber=528, squareRes=22.978250586152114, delay=185, status=PASS
result = inputNumber=16, squareRes=4.0, delay=165, status=PASS
result = inputNumber=292, squareRes=17.08800749063506, delay=155, status=PASS
result = inputNumber=625, squareRes=25.0, delay=335, status=FAIL
result = inputNumber=546, squareRes=23.366642891095847, delay=146, status=PASS
result = inputNumber=792, squareRes=28.142494558940577, delay=335, status=FAIL
result = inputNumber=743, squareRes=27.258026340878022, delay=334, status=FAIL
result = inputNumber=978, squareRes=31.272991542223778, delay=152, status=PASS
result = inputNumber=110, squareRes=10.488088481701515, delay=206, status=FAIL
result = inputNumber=201, squareRes=14.177446878757825, delay=329, status=FAIL
result = inputNumber=343, squareRes=18.520259177452136, delay=200, status=PASS
result = inputNumber=746, squareRes=27.313000567495326, delay=155, status=PASS
result = inputNumber=182, squareRes=13.490737563232042, delay=153, status=PASS
result = inputNumber=464, squareRes=21.540659228538015, delay=157, status=PASS
result = inputNumber=805, squareRes=28.372521918222215, delay=151, status=PASS
result = inputNumber=879, squareRes=29.647934160747187, delay=153, status=PASS
result = inputNumber=566, squareRes=23.790754506740637, delay=145, status=PASS
result = inputNumber=115, squareRes=10.723805294763608, delay=162, status=PASS
result = inputNumber=754, squareRes=27.459060435491963, delay=174, status=PASS
result = inputNumber=689, squareRes=26.248809496813376, delay=165, status=PASS
result = inputNumber=401, squareRes=20.024984394500787, delay=150, status=PASS
result = inputNumber=344, squareRes=18.547236990991408, delay=161, status=PASS
result = inputNumber=279, squareRes=16.703293088490067, delay=168, status=PASS
result = inputNumber=212, squareRes=14.560219778561036, delay=163, status=PASS
result = inputNumber=131, squareRes=11.445523142259598, delay=178, status=PASS
result = inputNumber=17, squareRes=4.123105625617661, delay=165, status=PASS
result = inputNumber=32, squareRes=5.656854249492381, delay=169, status=PASS
