result = inputNumber=243, squareRes=15.588457268119896, delay=175, status=PASS
result = inputNumber=612, squareRes=24.73863375370596, delay=175, status=PASS
result = inputNumber=802, squareRes=28.319604517012593, delay=170, status=PASS
result = inputNumber=619, squareRes=24.879710609249457, delay=176, status=PASS
result = inputNumber=231, squareRes=15.198684153570664, delay=173, status=PASS
result = inputNumber=67, squareRes=8.18535277187245, delay=180, status=PASS
result = inputNumber=934, squareRes=30.56141357987225, delay=186, status=PASS
result = inputNumber=663, squareRes=25.748786379167466, delay=188, status=PASS
result = inputNumber=789, squareRes=28.089143810376278, delay=190, status=PASS
result = inputNumber=599, squareRes=24.474476501040833, delay=195, status=PASS
result = inputNumber=561, squareRes=23.68543856465402, delay=196, status=PASS
result = inputNumber=742, squareRes=27.23967694375247, delay=202, status=FAIL
result = inputNumber=432, squareRes=20.784609690826528, delay=200, status=PASS
result = inputNumber=237, squareRes=15.394804318340652, delay=201, status=FAIL
result = inputNumber=397, squareRes=19.924858845171276, delay=202, status=FAIL
result = inputNumber=548, squareRes=23.40939982143925, delay=208, status=FAIL
result = inputNumber=967, squareRes=31.096623610932426, delay=215, status=FAIL
result = inputNumber=519, squareRes=22.781571499789035, delay=217, status=FAIL
result = inputNumber=204, squareRes=14.2828568570857, delay=235, status=FAIL
result = inputNumber=769, squareRes=27.730849247724095, delay=236, status=FAIL
result = inputNumber=563, squareRes=23.727621035409346, delay=138, status=PASS
result = inputNumber=89, squareRes=9.433981132056603, delay=151, status=PASS
result = inputNumber=926, squareRes=30.430248109405877, delay=131, status=PASS
result = inputNumber=694, squareRes=26.343879744638983, delay=148, status=PASS
result = inputNumber=338, squareRes=18.384776310850235, delay=152, status=PASS
result = inputNumber=495, squareRes=22.24859546128699, delay=163, status=PASS
result = inputNumber=235, squareRes=15.329709716755891, delay=148, status=PASS
result = inputNumber=262, squareRes=16.186414056238647, delay=183, status=PASS
result = inputNumber=86, squareRes=9.273618495495704, delay=182, status=PASS
result = inputNumber=999, squareRes=31.606961258558215, delay=163, status=PASS
result = inputNumber=799, squareRes=28.26658805020514, delay=188, status=PASS
result = inputNumber=910, squareRes=30.166206257996713, delay=189, status=PASS
result = inputNumber=375, squareRes=19.364916731037084, delay=183, status=PASS
result = inputNumber=44, squareRes=6.6332495807108, delay=174, status=PASS
result = inputNumber=945, squareRes=30.740852297878796, delay=173, status=PASS
result = inputNumber=898, squareRes=29.966648127543394, delay=181, status=PASS
result = inputNumber=519, squareRes=22.781571499789035, delay=179, status=PASS
result = inputNumber=190, squareRes=13.784048752090222, delay=186, status=PASS
result = inputNumber=553, squareRes=23.515952032609693, delay=191, status=PASS
result = inputNumber=150, squareRes=12.24744871391589, delay=192, status=PASS
result = inputNumber=460, squareRes=21.447610589527216, delay=131, status=PASS
result = inputNumber=145, squareRes=12.041594578792296, delay=144, status=PASS
result = inputNumber=227, squareRes=15.066519173319364, delay=143, status=PASS
result = inputNumber=943, squareRes=30.708305065568176, delay=148, status=PASS
result = inputNumber=820, squareRes=28.635642126552707, delay=157, status=PASS
result = inputNumber=681, squareRes=26.095976701399778, delay=154, status=PASS
result = inputNumber=842, squareRes=29.017236257093817, delay=147, status=PASS
result = inputNumber=467, squareRes=21.61018278497431, delay=145, status=PASS
result = inputNumber=734, squareRes=27.09243436828813, delay=150, status=PASS
result = inputNumber=30, squareRes=5.477225575051661, delay=179, status=PASS
result = inputNumber=360, squareRes=18.973665961010276, delay=165, status=PASS
result = inputNumber=405, squareRes=20.12461179749811, delay=163, status=PASS
result = inputNumber=124, squareRes=11.135528725660043, delay=164, status=PASS
result = inputNumber=539, squareRes=23.2163735324878, delay=163, status=PASS
result = inputNumber=869, squareRes=29.478805945967352, delay=145, status=PASS
result = inputNumber=92, squareRes=9.591663046625438, delay=149, status=PASS
result = inputNumber=168, squareRes=12.96148139681572, delay=175, status=PASS
result = inputNumber=15, squareRes=3.872983346207417, delay=159, status=PASS
result = inputNumber=325, squareRes=18.027756377319946, delay=164, status=PASS
result = inputNumber=73, squareRes=8.54400374531753, delay=138, status=PASS
result = inputNumber=753, squareRes=27.440845468024488, delay=171, status=PASS
result = inputNumber=379, squareRes=19.467922333931785, delay=163, status=PASS
result = inputNumber=468, squareRes=21.633307652783937, delay=146, status=PASS
result = inputNumber=519, squareRes=22.781571499789035, delay=174, status=PASS
result = inputNumber=599, squareRes=24.474476501040833, delay=162, status=PASS
result = inputNumber=173, squareRes=13.152946437965905, delay=133, status=PASS
result = inputNumber=285, squareRes=16.881943016134134, delay=158, status=PASS
result = inputNumber=709, squareRes=26.627053911388696, delay=142, status=PASS
result = inputNumber=755, squareRes=27.477263328068172, delay=153, status=PASS
result = inputNumber=778, squareRes=27.892651361962706, delay=166, status=PASS
result = inputNumber=706, squareRes=26.570660511172846, delay=153, status=PASS
result = inputNumber=763, squareRes=27.622454633866266, delay=153, status=PASS
result = inputNumber=924, squareRes=30.397368307141328, delay=169, status=PASS
result = inputNumber=675, squareRes=25.98076211353316, delay=189, status=PASS
result = inputNumber=14, squareRes=3.7416573867739413, delay=165, status=PASS
result = inputNumber=266, squareRes=16.30950643030009, delay=151, status=PASS
result = inputNumber=45, squareRes=6.708203932499369, delay=174, status=PASS
result = inputNumber=715, squareRes=26.739483914241877, delay=174, status=PASS
result = inputNumber=929, squareRes=30.479501308256342, delay=154, status=PASS
result = inputNumber=455, squareRes=21.330729007701542, delay=162, status=PASS
result = inputNumber=276, squareRes=16.61324772583615, delay=172, status=PASS
result = inputNumber=511, squareRes=22.60530911091463, delay=150, status=PASS
result = inputNumber=742, squareRes=27.23967694375247, delay=154, status=PASS
result = inputNumber=462, squareRes=21.494185260204677, delay=154, status=PASS
result = inputNumber=398, squareRes=19.949937343260004, delay=179, status=PASS
result = inputNumber=280, squareRes=16.73320053068151, delay=159, status=PASS
result = inputNumber=857, squareRes=29.274562336608895, delay=169, status=PASS
result = inputNumber=853, squareRes=29.206163733020468, delay=174, status=PASS
result = inputNumber=127, squareRes=11.269427669584644, delay=156, status=PASS
result = inputNumber=491, squareRes=22.15851980616034, delay=162, status=PASS
result = inputNumber=583, squareRes=24.145392935299274, delay=183, status=PASS
result = inputNumber=955, squareRes=30.903074280724887, delay=194, status=PASS
result = inputNumber=433, squareRes=20.808652046684813, delay=196, status=PASS
result = inputNumber=362, squareRes=19.026297590440446, delay=171, status=PASS
result = inputNumber=817, squareRes=28.583211855912904, delay=195, status=PASS
result = inputNumber=725, squareRes=26.92582403567252, delay=183, status=PASS
result = inputNumber=464, squareRes=21.540659228538015, delay=208, status=FAIL
result = inputNumber=623, squareRes=24.95996794869737, delay=189, status=PASS
result = inputNumber=839, squareRes=28.965496715920477, delay=160, status=PASS
result = inputNumber=155, squareRes=12.449899597988733, delay=162, status=PASS
result = inputNumber=610, squareRes=24.698178070456937, delay=166, status=PASS
result = inputNumber=548, squareRes=23.40939982143925, delay=150, status=PASS
result = inputNumber=853, squareRes=29.206163733020468, delay=165, status=PASS
result = inputNumber=947, squareRes=30.773365106858236, delay=167, status=PASS
result = inputNumber=455, squareRes=21.330729007701542, delay=152, status=PASS
result = inputNumber=25, squareRes=5.0, delay=159, status=PASS
result = inputNumber=601, squareRes=24.515301344262525, delay=152, status=PASS
result = inputNumber=680, squareRes=26.076809620810597, delay=169, status=PASS
result = inputNumber=655, squareRes=25.592967784139454, delay=164, status=PASS
result = inputNumber=17, squareRes=4.123105625617661, delay=146, status=PASS
result = inputNumber=775, squareRes=27.83882181415011, delay=164, status=PASS
result = inputNumber=963, squareRes=31.0322412983658, delay=147, status=PASS
result = inputNumber=239, squareRes=15.459624833740307, delay=151, status=PASS
result = inputNumber=744, squareRes=27.27636339397171, delay=177, status=PASS
result = inputNumber=625, squareRes=25.0, delay=161, status=PASS
result = inputNumber=684, squareRes=26.153393661244042, delay=160, status=PASS
result = inputNumber=270, squareRes=16.431676725154983, delay=162, status=PASS
