result = inputNumber=838, squareRes=28.948229652260256, delay=269, status=FAIL
result = inputNumber=166, squareRes=12.884098726725126, delay=232, status=FAIL
result = inputNumber=467, squareRes=21.61018278497431, delay=362, status=FAIL
result = inputNumber=471, squareRes=21.702534414210707, delay=266, status=FAIL
result = inputNumber=259, squareRes=16.09347693943108, delay=273, status=FAIL
result = inputNumber=162, squareRes=12.727922061357855, delay=170, status=PASS
result = inputNumber=769, squareRes=27.730849247724095, delay=246, status=FAIL
result = inputNumber=989, squareRes=31.448370387032774, delay=259, status=FAIL
result = inputNumber=566, squareRes=23.790754506740637, delay=187, status=PASS
result = inputNumber=779, squareRes=27.910571473905726, delay=191, status=PASS
result = inputNumber=421, squareRes=20.518284528683193, delay=374, status=FAIL
result = inputNumber=816, squareRes=28.5657137141714, delay=294, status=FAIL
result = inputNumber=6, squareRes=2.449489742783178, delay=164, status=PASS
result = inputNumber=65, squareRes=8.06225774829855, delay=305, status=FAIL
result = inputNumber=497, squareRes=22.293496809607955, delay=176, status=PASS
result = inputNumber=417, squareRes=20.42057785666214, delay=173, status=PASS
result = inputNumber=324, squareRes=18.0, delay=193, status=PASS
result = inputNumber=181, squareRes=13.45362404707371, delay=330, status=FAIL
result = inputNumber=520, squareRes=22.80350850198276, delay=190, status=PASS
result = inputNumber=540, squareRes=23.2379000772445, delay=261, status=FAIL
result = inputNumber=296, squareRes=17.204650534085253, delay=199, status=PASS
result = inputNumber=797, squareRes=28.231188426986208, delay=189, status=PASS
result = inputNumber=814, squareRes=28.53068523537421, delay=170, status=PASS
result = inputNumber=448, squareRes=21.166010488516726, delay=193, status=PASS
result = inputNumber=729, squareRes=27.0, delay=292, status=FAIL
result = inputNumber=250, squareRes=15.811388300841896, delay=205, status=FAIL
result = inputNumber=882, squareRes=29.698484809834994, delay=181, status=PASS
result = inputNumber=855, squareRes=29.24038303442689, delay=203, status=FAIL
result = inputNumber=688, squareRes=26.229754097208, delay=225, status=FAIL
result = inputNumber=87, squareRes=9.327379053088816, delay=151, status=PASS
result = inputNumber=400, squareRes=20.0, delay=170, status=PASS
result = inputNumber=401, squareRes=20.024984394500787, delay=160, status=PASS
result = inputNumber=655, squareRes=25.592967784139454, delay=153, status=PASS
result = inputNumber=386, squareRes=19.6468827043885, delay=172, status=PASS
result = inputNumber=782, squareRes=27.964262908219126, delay=174, status=PASS
result = inputNumber=299, squareRes=17.291616465790582, delay=176, status=PASS
result = inputNumber=593, squareRes=24.351591323771842, delay=159, status=PASS
result = inputNumber=419, squareRes=20.46948949045872, delay=183, status=PASS
result = inputNumber=478, squareRes=21.863211109075447, delay=191, status=PASS
result = inputNumber=677, squareRes=26.019223662515376, delay=169, status=PASS
result = inputNumber=740, squareRes=27.202941017470888, delay=171, status=PASS
result = inputNumber=727, squareRes=26.962937525425527, delay=150, status=PASS
result = inputNumber=4, squareRes=2.0, delay=173, status=PASS
result = inputNumber=496, squareRes=22.271057451320086, delay=167, status=PASS
result = inputNumber=686, squareRes=26.19160170741759, delay=185, status=PASS
result = inputNumber=60, squareRes=7.745966692414834, delay=176, status=PASS
result = inputNumber=903, squareRes=30.04995840263344, delay=191, status=PASS
result = inputNumber=687, squareRes=26.210684844162312, delay=195, status=PASS
result = inputNumber=263, squareRes=16.217274740226856, delay=170, status=PASS
result = inputNumber=117, squareRes=10.816653826391969, delay=157, status=PASS
result = inputNumber=335, squareRes=18.303005217723125, delay=176, status=PASS
result = inputNumber=883, squareRes=29.715315916207253, delay=211, status=FAIL
result = inputNumber=596, squareRes=24.413111231467404, delay=206, status=FAIL
result = inputNumber=398, squareRes=19.949937343260004, delay=178, status=PASS
result = inputNumber=798, squareRes=28.24889378365107, delay=183, status=PASS
result = inputNumber=509, squareRes=22.561028345356956, delay=220, status=FAIL
result = inputNumber=599, squareRes=24.474476501040833, delay=234, status=FAIL
result = inputNumber=882, squareRes=29.698484809834994, delay=230, status=FAIL
result = inputNumber=822, squareRes=28.6705423736629, delay=227, status=FAIL
result = inputNumber=339, squareRes=18.411952639521967, delay=190, status=PASS
result = inputNumber=522, squareRes=22.847319317591726, delay=198, status=PASS
result = inputNumber=83, squareRes=9.1104335791443, delay=200, status=PASS
result = inputNumber=225, squareRes=15.0, delay=229, status=FAIL
result = inputNumber=718, squareRes=26.795522013948524, delay=205, status=FAIL
result = inputNumber=130, squareRes=11.40175425099138, delay=164, status=PASS
result = inputNumber=201, squareRes=14.177446878757825, delay=225, status=FAIL
result = inputNumber=630, squareRes=25.099800796022265, delay=135, status=PASS
result = inputNumber=302, squareRes=17.378147196982766, delay=271, status=FAIL
result = inputNumber=317, squareRes=17.804493814764857, delay=147, status=PASS
result = inputNumber=222, squareRes=14.89966442575134, delay=232, status=FAIL
result = inputNumber=28, squareRes=5.291502622129181, delay=247, status=FAIL
result = inputNumber=755, squareRes=27.477263328068172, delay=154, status=PASS
result = inputNumber=794, squareRes=28.178005607210743, delay=159, status=PASS
result = inputNumber=214, squareRes=14.628738838327793, delay=262, status=FAIL
result = inputNumber=643, squareRes=25.357444666211933, delay=175, status=PASS
result = inputNumber=599, squareRes=24.474476501040833, delay=185, status=PASS
result = inputNumber=143, squareRes=11.958260743101398, delay=174, status=PASS
result = inputNumber=543, squareRes=23.302360395462088, delay=179, status=PASS
result = inputNumber=664, squareRes=25.768197453450252, delay=186, status=PASS
result = inputNumber=37, squareRes=6.082762530298219, delay=174, status=PASS
result = inputNumber=515, squareRes=22.693611435820433, delay=166, status=PASS
result = inputNumber=670, squareRes=25.88435821108957, delay=152, status=PASS
result = inputNumber=57, squareRes=7.54983443527075, delay=170, status=PASS
result = inputNumber=966, squareRes=31.080540535840107, delay=171, status=PASS
result = inputNumber=901, squareRes=30.01666203960727, delay=162, status=PASS
result = inputNumber=907, squareRes=30.116440692751194, delay=169, status=PASS
result = inputNumber=838, squareRes=28.948229652260256, delay=163, status=PASS
result = inputNumber=799, squareRes=28.26658805020514, delay=146, status=PASS
result = inputNumber=81, squareRes=9.0, delay=150, status=PASS
result = inputNumber=333, squareRes=18.24828759089466, delay=150, status=PASS
result = inputNumber=191, squareRes=13.820274961085254, delay=158, status=PASS
result = inputNumber=265, squareRes=16.278820596099706, delay=161, status=PASS
result = inputNumber=133, squareRes=11.532562594670797, delay=170, status=PASS
result = inputNumber=457, squareRes=21.37755832643195, delay=164, status=PASS
result = inputNumber=986, squareRes=31.400636936215164, delay=188, status=PASS
result = inputNumber=18, squareRes=4.242640687119285, delay=187, status=PASS
result = inputNumber=392, squareRes=19.79898987322333, delay=168, status=PASS
result = inputNumber=788, squareRes=28.071337695236398, delay=195, status=PASS
result = inputNumber=954, squareRes=30.886890422961002, delay=176, status=PASS
result = inputNumber=631, squareRes=25.11971337416094, delay=185, status=PASS
result = inputNumber=355, squareRes=18.841443681416774, delay=189, status=PASS
result = inputNumber=276, squareRes=16.61324772583615, delay=181, status=PASS
result = inputNumber=59, squareRes=7.681145747868608, delay=193, status=PASS
result = inputNumber=31, squareRes=5.5677643628300215, delay=203, status=FAIL
result = inputNumber=815, squareRes=28.548204847240395, delay=169, status=PASS
result = inputNumber=570, squareRes=23.874672772626646, delay=209, status=FAIL
result = inputNumber=560, squareRes=23.664319132398465, delay=170, status=PASS
result = inputNumber=431, squareRes=20.760539492026695, delay=164, status=PASS
result = inputNumber=255, squareRes=15.968719422671311, delay=170, status=PASS
result = inputNumber=119, squareRes=10.908712114635714, delay=159, status=PASS
result = inputNumber=859, squareRes=29.30870177950569, delay=193, status=PASS
result = inputNumber=255, squareRes=15.968719422671311, delay=170, status=PASS
result = inputNumber=757, squareRes=27.51363298439521, delay=168, status=PASS
result = inputNumber=733, squareRes=27.073972741361768, delay=188, status=PASS
result = inputNumber=318, squareRes=17.832554500127006, delay=185, status=PASS
result = inputNumber=69, squareRes=8.306623862918075, delay=168, status=PASS
result = inputNumber=490, squareRes=22.135943621178654, delay=213, status=FAIL
result = inputNumber=899, squareRes=29.9833287011299, delay=174, status=PASS
result = inputNumber=100, squareRes=10.0, delay=174, status=PASS
result = inputNumber=499, squareRes=22.338307903688676, delay=179, status=PASS
result = inputNumber=969, squareRes=31.12876483254676, delay=201, status=FAIL
result = inputNumber=443, squareRes=21.047565179849187, delay=195, status=PASS
result = inputNumber=350, squareRes=18.708286933869708, delay=186, status=PASS
result = inputNumber=363, squareRes=19.05255888325765, delay=165, status=PASS
result = inputNumber=202, squareRes=14.212670403551895, delay=180, status=PASS
result = inputNumber=852, squareRes=29.189039038652847, delay=183, status=PASS
result = inputNumber=316, squareRes=17.776388834631177, delay=178, status=PASS
result = inputNumber=94, squareRes=9.695359714832659, delay=193, status=PASS
result = inputNumber=110, squareRes=10.488088481701515, delay=223, status=FAIL
result = inputNumber=869, squareRes=29.478805945967352, delay=173, status=PASS
result = inputNumber=842, squareRes=29.017236257093817, delay=241, status=FAIL
result = inputNumber=364, squareRes=19.078784028338912, delay=211, status=FAIL
result = inputNumber=307, squareRes=17.52141546793523, delay=178, status=PASS
result = inputNumber=146, squareRes=12.083045973594572, delay=175, status=PASS
result = inputNumber=524, squareRes=22.891046284519195, delay=179, status=PASS
result = inputNumber=780, squareRes=27.92848008753788, delay=172, status=PASS
result = inputNumber=133, squareRes=11.532562594670797, delay=186, status=PASS
result = inputNumber=904, squareRes=30.066592756745816, delay=170, status=PASS
result = inputNumber=330, squareRes=18.16590212458495, delay=216, status=FAIL
result = inputNumber=876, squareRes=29.597297173897484, delay=197, status=PASS
result = inputNumber=403, squareRes=20.074859899884732, delay=164, status=PASS
result = inputNumber=535, squareRes=23.130067012440755, delay=170, status=PASS
result = inputNumber=940, squareRes=30.659419433511783, delay=181, status=PASS
result = inputNumber=413, squareRes=20.322401432901575, delay=179, status=PASS
