result = inputNumber=89, squareRes=9.433981132056603, delay=156, status=PASS
result = inputNumber=549, squareRes=23.430749027719962, delay=158, status=PASS
result = inputNumber=278, squareRes=16.673332000533065, delay=165, status=PASS
result = inputNumber=241, squareRes=15.524174696260024, delay=166, status=PASS
result = inputNumber=88, squareRes=9.38083151964686, delay=169, status=PASS
result = inputNumber=769, squareRes=27.730849247724095, delay=169, status=PASS
result = inputNumber=676, squareRes=26.0, delay=174, status=PASS
result = inputNumber=58, squareRes=7.615773105863909, delay=178, status=PASS
result = inputNumber=839, squareRes=28.965496715920477, delay=179, status=PASS
result = inputNumber=36, squareRes=6.0, delay=180, status=PASS
result = inputNumber=972, squareRes=31.176914536239792, delay=186, status=PASS
result = inputNumber=921, squareRes=30.347981810987037, delay=189, status=PASS
result = inputNumber=153, squareRes=12.36931687685298, delay=190, status=PASS
result = inputNumber=774, squareRes=27.820855486487112, delay=193, status=PASS
result = inputNumber=75, squareRes=8.660254037844387, delay=200, status=PASS
result = inputNumber=332, squareRes=18.2208671582886, delay=178, status=PASS
result = inputNumber=742, squareRes=27.23967694375247, delay=204, status=FAIL
result = inputNumber=912, squareRes=30.199337741083, delay=208, status=FAIL
result = inputNumber=463, squareRes=21.517434791350013, delay=209, status=FAIL
result = inputNumber=665, squareRes=25.787593916455254, delay=179, status=PASS
result = inputNumber=544, squareRes=23.323807579381203, delay=212, status=FAIL
result = inputNumber=988, squareRes=31.432467291003423, delay=207, status=FAIL
result = inputNumber=754, squareRes=27.459060435491963, delay=219, status=FAIL
result = inputNumber=175, squareRes=13.228756555322953, delay=224, status=FAIL
result = inputNumber=921, squareRes=30.347981810987037, delay=225, status=FAIL
result = inputNumber=12, squareRes=3.4641016151377544, delay=222, status=FAIL
result = inputNumber=662, squareRes=25.729360660537214, delay=168, status=PASS
result = inputNumber=685, squareRes=26.1725046566048, delay=231, status=FAIL
result = inputNumber=766, squareRes=27.676705006196094, delay=179, status=PASS
result = inputNumber=207, squareRes=14.38749456993816, delay=244, status=FAIL
result = inputNumber=53, squareRes=7.280109889280518, delay=183, status=PASS
result = inputNumber=540, squareRes=23.2379000772445, delay=183, status=PASS
result = inputNumber=511, squareRes=22.60530911091463, delay=189, status=PASS
result = inputNumber=83, squareRes=9.1104335791443, delay=254, status=FAIL
result = inputNumber=366, squareRes=19.131126469708992, delay=192, status=PASS
result = inputNumber=362, squareRes=19.026297590440446, delay=194, status=PASS
result = inputNumber=363, squareRes=19.05255888325765, delay=196, status=PASS
result = inputNumber=883, squareRes=29.715315916207253, delay=256, status=FAIL
result = inputNumber=204, squareRes=14.2828568570857, delay=198, status=PASS
result = inputNumber=124, squareRes=11.135528725660043, delay=199, status=PASS
result = inputNumber=805, squareRes=28.372521918222215, delay=203, status=FAIL
result = inputNumber=795, squareRes=28.19574435974337, delay=204, status=FAIL
result = inputNumber=219, squareRes=14.798648586948742, delay=266, status=FAIL
result = inputNumber=871, squareRes=29.512709126747414, delay=205, status=FAIL
result = inputNumber=798, squareRes=28.24889378365107, delay=207, status=FAIL
result = inputNumber=205, squareRes=14.317821063276353, delay=213, status=FAIL
result = inputNumber=959, squareRes=30.967725134404045, delay=274, status=FAIL
result = inputNumber=253, squareRes=15.905973720586866, delay=272, status=FAIL
result = inputNumber=385, squareRes=19.621416870348583, delay=214, status=FAIL
result = inputNumber=84, squareRes=9.16515138991168, delay=216, status=FAIL
result = inputNumber=100, squareRes=10.0, delay=280, status=FAIL
result = inputNumber=960, squareRes=30.983866769659336, delay=220, status=FAIL
result = inputNumber=929, squareRes=30.479501308256342, delay=221, status=FAIL
result = inputNumber=731, squareRes=27.03701166919155, delay=281, status=FAIL
result = inputNumber=718, squareRes=26.795522013948524, delay=226, status=FAIL
result = inputNumber=753, squareRes=27.440845468024488, delay=226, status=FAIL
result = inputNumber=101, squareRes=10.04987562112089, delay=228, status=FAIL
result = inputNumber=336, squareRes=18.33030277982336, delay=269, status=FAIL
