result = inputNumber=609, squareRes=24.677925358506133, delay=174, status=PASS
result = inputNumber=88, squareRes=9.38083151964686, delay=143, status=PASS
result = inputNumber=987, squareRes=31.416556144810016, delay=178, status=PASS
result = inputNumber=149, squareRes=12.206555615733702, delay=182, status=PASS
result = inputNumber=608, squareRes=24.657656011875904, delay=180, status=PASS
result = inputNumber=938, squareRes=30.62678566222711, delay=183, status=PASS
result = inputNumber=847, squareRes=29.103264421710495, delay=184, status=PASS
result = inputNumber=981, squareRes=31.32091952673165, delay=184, status=PASS
result = inputNumber=359, squareRes=18.947295321496416, delay=180, status=PASS
result = inputNumber=469, squareRes=21.656407827707714, delay=183, status=PASS
result = inputNumber=992, squareRes=31.496031496047245, delay=184, status=PASS
result = inputNumber=546, squareRes=23.366642891095847, delay=186, status=PASS
result = inputNumber=508, squareRes=22.538855339169288, delay=186, status=PASS
result = inputNumber=795, squareRes=28.19574435974337, delay=191, status=PASS
result = inputNumber=696, squareRes=26.38181191654584, delay=197, status=PASS
result = inputNumber=148, squareRes=12.165525060596439, delay=196, status=PASS
result = inputNumber=573, squareRes=23.93741840717165, delay=196, status=PASS
result = inputNumber=533, squareRes=23.08679276123039, delay=197, status=PASS
result = inputNumber=818, squareRes=28.600699292150182, delay=203, status=FAIL
result = inputNumber=796, squareRes=28.21347195933177, delay=200, status=PASS
result = inputNumber=691, squareRes=26.28687885618983, delay=214, status=FAIL
result = inputNumber=855, squareRes=29.24038303442689, delay=210, status=FAIL
result = inputNumber=266, squareRes=16.30950643030009, delay=210, status=FAIL
result = inputNumber=739, squareRes=27.184554438136374, delay=212, status=FAIL
result = inputNumber=345, squareRes=18.57417562100671, delay=215, status=FAIL
result = inputNumber=238, squareRes=15.427248620541512, delay=161, status=PASS
result = inputNumber=774, squareRes=27.820855486487112, delay=210, status=FAIL
result = inputNumber=147, squareRes=12.12435565298214, delay=212, status=FAIL
result = inputNumber=357, squareRes=18.894443627691185, delay=161, status=PASS
result = inputNumber=72, squareRes=8.48528137423857, delay=218, status=FAIL
result = inputNumber=937, squareRes=30.610455730027933, delay=169, status=PASS
result = inputNumber=244, squareRes=15.620499351813308, delay=169, status=PASS
result = inputNumber=775, squareRes=27.83882181415011, delay=230, status=FAIL
result = inputNumber=499, squareRes=22.338307903688676, delay=186, status=PASS
result = inputNumber=953, squareRes=30.870698080866262, delay=254, status=FAIL
result = inputNumber=437, squareRes=20.904544960366874, delay=185, status=PASS
result = inputNumber=546, squareRes=23.366642891095847, delay=208, status=FAIL
result = inputNumber=446, squareRes=21.118712081942874, delay=265, status=FAIL
result = inputNumber=974, squareRes=31.20897306865447, delay=212, status=FAIL
result = inputNumber=850, squareRes=29.154759474226502, delay=237, status=FAIL
result = inputNumber=725, squareRes=26.92582403567252, delay=214, status=FAIL
result = inputNumber=313, squareRes=17.69180601295413, delay=237, status=FAIL
result = inputNumber=521, squareRes=22.825424421026653, delay=269, status=FAIL
result = inputNumber=455, squareRes=21.330729007701542, delay=273, status=FAIL
result = inputNumber=538, squareRes=23.194827009486403, delay=273, status=FAIL
result = inputNumber=34, squareRes=5.830951894845301, delay=195, status=PASS
result = inputNumber=231, squareRes=15.198684153570664, delay=245, status=FAIL
result = inputNumber=355, squareRes=18.841443681416774, delay=210, status=FAIL
result = inputNumber=647, squareRes=25.436194683953808, delay=219, status=FAIL
result = inputNumber=480, squareRes=21.908902300206645, delay=205, status=FAIL
result = inputNumber=71, squareRes=8.426149773176359, delay=215, status=FAIL
result = inputNumber=154, squareRes=12.409673645990857, delay=212, status=FAIL
result = inputNumber=386, squareRes=19.6468827043885, delay=279, status=FAIL
result = inputNumber=639, squareRes=25.278449319529077, delay=208, status=FAIL
result = inputNumber=617, squareRes=24.839484696748443, delay=227, status=FAIL
result = inputNumber=723, squareRes=26.888659319497503, delay=214, status=FAIL
result = inputNumber=251, squareRes=15.84297951775486, delay=232, status=FAIL
result = inputNumber=369, squareRes=19.209372712298546, delay=232, status=FAIL
result = inputNumber=260, squareRes=16.1245154965971, delay=234, status=FAIL
result = inputNumber=972, squareRes=31.176914536239792, delay=224, status=FAIL
result = inputNumber=47, squareRes=6.855654600401044, delay=223, status=FAIL
result = inputNumber=636, squareRes=25.219040425836983, delay=229, status=FAIL
result = inputNumber=270, squareRes=16.431676725154983, delay=296, status=FAIL
result = inputNumber=920, squareRes=30.331501776206203, delay=232, status=FAIL
result = inputNumber=580, squareRes=24.08318915758459, delay=296, status=FAIL
result = inputNumber=912, squareRes=30.199337741083, delay=224, status=FAIL
result = inputNumber=462, squareRes=21.494185260204677, delay=238, status=FAIL
result = inputNumber=559, squareRes=23.643180835073778, delay=294, status=FAIL
result = inputNumber=717, squareRes=26.77685567799177, delay=219, status=FAIL
result = inputNumber=272, squareRes=16.492422502470642, delay=227, status=FAIL
result = inputNumber=243, squareRes=15.588457268119896, delay=305, status=FAIL
result = inputNumber=250, squareRes=15.811388300841896, delay=226, status=FAIL
result = inputNumber=178, squareRes=13.341664064126334, delay=240, status=FAIL
result = inputNumber=777, squareRes=27.874719729532707, delay=193, status=PASS
result = inputNumber=606, squareRes=24.61706725018234, delay=192, status=PASS
result = inputNumber=693, squareRes=26.324893162176366, delay=191, status=PASS
result = inputNumber=412, squareRes=20.29778313018444, delay=150, status=PASS
result = inputNumber=121, squareRes=11.0, delay=198, status=PASS
result = inputNumber=114, squareRes=10.677078252031311, delay=271, status=FAIL
result = inputNumber=705, squareRes=26.551836094703507, delay=200, status=PASS
result = inputNumber=467, squareRes=21.61018278497431, delay=283, status=FAIL
result = inputNumber=992, squareRes=31.496031496047245, delay=152, status=PASS
result = inputNumber=775, squareRes=27.83882181415011, delay=154, status=PASS
result = inputNumber=588, squareRes=24.24871130596428, delay=203, status=FAIL
result = inputNumber=541, squareRes=23.259406699226016, delay=235, status=FAIL
result = inputNumber=380, squareRes=19.493588689617926, delay=248, status=FAIL
result = inputNumber=11, squareRes=3.3166247903554, delay=163, status=PASS
result = inputNumber=235, squareRes=15.329709716755891, delay=169, status=PASS
result = inputNumber=198, squareRes=14.071247279470288, delay=173, status=PASS
result = inputNumber=907, squareRes=30.116440692751194, delay=289, status=FAIL
result = inputNumber=334, squareRes=18.275666882497067, delay=171, status=PASS
result = inputNumber=86, squareRes=9.273618495495704, delay=286, status=FAIL
result = inputNumber=179, squareRes=13.379088160259652, delay=166, status=PASS
result = inputNumber=650, squareRes=25.495097567963924, delay=182, status=PASS
result = inputNumber=149, squareRes=12.206555615733702, delay=219, status=FAIL
result = inputNumber=470, squareRes=21.6794833886788, delay=308, status=FAIL
result = inputNumber=544, squareRes=23.323807579381203, delay=254, status=FAIL
result = inputNumber=916, squareRes=30.265491900843113, delay=220, status=FAIL
result = inputNumber=969, squareRes=31.12876483254676, delay=169, status=PASS
result = inputNumber=166, squareRes=12.884098726725126, delay=317, status=FAIL
result = inputNumber=779, squareRes=27.910571473905726, delay=232, status=FAIL
result = inputNumber=599, squareRes=24.474476501040833, delay=301, status=FAIL
result = inputNumber=681, squareRes=26.095976701399778, delay=178, status=PASS
result = inputNumber=843, squareRes=29.03446228191595, delay=238, status=FAIL
result = inputNumber=124, squareRes=11.135528725660043, delay=177, status=PASS
result = inputNumber=347, squareRes=18.627936010197157, delay=192, status=PASS
result = inputNumber=774, squareRes=27.820855486487112, delay=300, status=FAIL
result = inputNumber=764, squareRes=27.640549922170507, delay=239, status=FAIL
result = inputNumber=493, squareRes=22.20360331117452, delay=321, status=FAIL
result = inputNumber=744, squareRes=27.27636339397171, delay=193, status=PASS
result = inputNumber=560, squareRes=23.664319132398465, delay=309, status=FAIL
result = inputNumber=950, squareRes=30.822070014844883, delay=196, status=PASS
result = inputNumber=509, squareRes=22.561028345356956, delay=243, status=FAIL
result = inputNumber=625, squareRes=25.0, delay=324, status=FAIL
result = inputNumber=850, squareRes=29.154759474226502, delay=305, status=FAIL
result = inputNumber=451, squareRes=21.236760581595302, delay=168, status=PASS
result = inputNumber=676, squareRes=26.0, delay=191, status=PASS
result = inputNumber=477, squareRes=21.840329667841555, delay=173, status=PASS
result = inputNumber=257, squareRes=16.0312195418814, delay=252, status=FAIL
result = inputNumber=817, squareRes=28.583211855912904, delay=157, status=PASS
result = inputNumber=565, squareRes=23.769728648009426, delay=176, status=PASS
result = inputNumber=843, squareRes=29.03446228191595, delay=203, status=FAIL
result = inputNumber=798, squareRes=28.24889378365107, delay=148, status=PASS
result = inputNumber=569, squareRes=23.853720883753127, delay=163, status=PASS
result = inputNumber=868, squareRes=29.46183972531247, delay=157, status=PASS
result = inputNumber=343, squareRes=18.520259177452136, delay=160, status=PASS
result = inputNumber=90, squareRes=9.486832980505138, delay=156, status=PASS
result = inputNumber=813, squareRes=28.513154858766505, delay=154, status=PASS
result = inputNumber=391, squareRes=19.77371993328519, delay=168, status=PASS
result = inputNumber=479, squareRes=21.88606862823929, delay=209, status=FAIL
result = inputNumber=548, squareRes=23.40939982143925, delay=216, status=FAIL
result = inputNumber=695, squareRes=26.362852652928137, delay=164, status=PASS
result = inputNumber=517, squareRes=22.737634001804146, delay=227, status=FAIL
result = inputNumber=507, squareRes=22.516660498395403, delay=218, status=FAIL
result = inputNumber=590, squareRes=24.289915602982237, delay=218, status=FAIL
result = inputNumber=331, squareRes=18.193405398660254, delay=163, status=PASS
result = inputNumber=244, squareRes=15.620499351813308, delay=364, status=FAIL
result = inputNumber=967, squareRes=31.096623610932426, delay=218, status=FAIL
result = inputNumber=437, squareRes=20.904544960366874, delay=151, status=PASS
result = inputNumber=945, squareRes=30.740852297878796, delay=221, status=FAIL
result = inputNumber=939, squareRes=30.643106892089126, delay=162, status=PASS
result = inputNumber=86, squareRes=9.273618495495704, delay=238, status=FAIL
result = inputNumber=937, squareRes=30.610455730027933, delay=329, status=FAIL
result = inputNumber=157, squareRes=12.529964086141668, delay=157, status=PASS
result = inputNumber=208, squareRes=14.422205101855956, delay=303, status=FAIL
result = inputNumber=459, squareRes=21.42428528562855, delay=370, status=FAIL
result = inputNumber=200, squareRes=14.142135623730951, delay=255, status=FAIL
result = inputNumber=886, squareRes=29.765752132274432, delay=219, status=FAIL
result = inputNumber=555, squareRes=23.558437978779494, delay=373, status=FAIL
result = inputNumber=903, squareRes=30.04995840263344, delay=298, status=FAIL
result = inputNumber=359, squareRes=18.947295321496416, delay=223, status=FAIL
result = inputNumber=988, squareRes=31.432467291003423, delay=305, status=FAIL
result = inputNumber=394, squareRes=19.849433241279208, delay=368, status=FAIL
result = inputNumber=55, squareRes=7.416198487095663, delay=371, status=FAIL
result = inputNumber=799, squareRes=28.26658805020514, delay=185, status=PASS
result = inputNumber=532, squareRes=23.065125189341593, delay=192, status=PASS
result = inputNumber=91, squareRes=9.539392014169456, delay=148, status=PASS
result = inputNumber=979, squareRes=31.28897569432403, delay=156, status=PASS
result = inputNumber=127, squareRes=11.269427669584644, delay=148, status=PASS
result = inputNumber=703, squareRes=26.514147167125703, delay=167, status=PASS
result = inputNumber=519, squareRes=22.781571499789035, delay=152, status=PASS
result = inputNumber=24, squareRes=4.898979485566356, delay=156, status=PASS
result = inputNumber=82, squareRes=9.055385138137417, delay=165, status=PASS
result = inputNumber=61, squareRes=7.810249675906654, delay=211, status=FAIL
result = inputNumber=284, squareRes=16.852299546352718, delay=184, status=PASS
result = inputNumber=685, squareRes=26.1725046566048, delay=156, status=PASS
result = inputNumber=510, squareRes=22.58317958127243, delay=167, status=PASS
result = inputNumber=109, squareRes=10.44030650891055, delay=181, status=PASS
result = inputNumber=322, squareRes=17.944358444926362, delay=172, status=PASS
result = inputNumber=883, squareRes=29.715315916207253, delay=187, status=PASS
result = inputNumber=901, squareRes=30.01666203960727, delay=186, status=PASS
result = inputNumber=299, squareRes=17.291616465790582, delay=169, status=PASS
result = inputNumber=726, squareRes=26.94438717061496, delay=191, status=PASS
result = inputNumber=261, squareRes=16.15549442140351, delay=179, status=PASS
result = inputNumber=331, squareRes=18.193405398660254, delay=184, status=PASS
result = inputNumber=784, squareRes=28.0, delay=193, status=PASS
result = inputNumber=600, squareRes=24.49489742783178, delay=167, status=PASS
result = inputNumber=2, squareRes=1.4142135623730951, delay=169, status=PASS
result = inputNumber=279, squareRes=16.703293088490067, delay=164, status=PASS
result = inputNumber=636, squareRes=25.219040425836983, delay=177, status=PASS
result = inputNumber=557, squareRes=23.600847442411894, delay=149, status=PASS
result = inputNumber=705, squareRes=26.551836094703507, delay=180, status=PASS
result = inputNumber=807, squareRes=28.407745422683583, delay=177, status=PASS
result = inputNumber=57, squareRes=7.54983443527075, delay=174, status=PASS
result = inputNumber=271, squareRes=16.46207763315433, delay=170, status=PASS
result = inputNumber=659, squareRes=25.67099530598687, delay=171, status=PASS
result = inputNumber=781, squareRes=27.94637722496424, delay=215, status=FAIL
result = inputNumber=305, squareRes=17.46424919657298, delay=206, status=FAIL
result = inputNumber=285, squareRes=16.881943016134134, delay=216, status=FAIL
result = inputNumber=645, squareRes=25.39685019840059, delay=204, status=FAIL
result = inputNumber=137, squareRes=11.704699910719626, delay=216, status=FAIL
result = inputNumber=480, squareRes=21.908902300206645, delay=218, status=FAIL
result = inputNumber=180, squareRes=13.416407864998739, delay=205, status=FAIL
result = inputNumber=622, squareRes=24.939927826679853, delay=167, status=PASS
result = inputNumber=407, squareRes=20.174241001832016, delay=165, status=PASS
result = inputNumber=554, squareRes=23.53720459187964, delay=172, status=PASS
result = inputNumber=988, squareRes=31.432467291003423, delay=179, status=PASS
result = inputNumber=136, squareRes=11.661903789690601, delay=181, status=PASS
result = inputNumber=633, squareRes=25.15949125081825, delay=164, status=PASS
result = inputNumber=166, squareRes=12.884098726725126, delay=182, status=PASS
result = inputNumber=314, squareRes=17.72004514666935, delay=185, status=PASS
result = inputNumber=488, squareRes=22.090722034374522, delay=153, status=PASS
result = inputNumber=537, squareRes=23.173260452512935, delay=158, status=PASS
result = inputNumber=216, squareRes=14.696938456699069, delay=161, status=PASS
result = inputNumber=134, squareRes=11.575836902790225, delay=164, status=PASS
result = inputNumber=344, squareRes=18.547236990991408, delay=210, status=FAIL
result = inputNumber=507, squareRes=22.516660498395403, delay=169, status=PASS
result = inputNumber=651, squareRes=25.514701644346147, delay=203, status=FAIL
result = inputNumber=946, squareRes=30.757112998459398, delay=185, status=PASS
result = inputNumber=777, squareRes=27.874719729532707, delay=177, status=PASS
result = inputNumber=327, squareRes=18.083141320025124, delay=196, status=PASS
result = inputNumber=785, squareRes=28.0178514522438, delay=179, status=PASS
result = inputNumber=702, squareRes=26.49528259898354, delay=187, status=PASS
result = inputNumber=696, squareRes=26.38181191654584, delay=196, status=PASS
result = inputNumber=853, squareRes=29.206163733020468, delay=189, status=PASS
result = inputNumber=191, squareRes=13.820274961085254, delay=185, status=PASS
result = inputNumber=768, squareRes=27.712812921102035, delay=185, status=PASS
result = inputNumber=209, squareRes=14.45683229480096, delay=175, status=PASS
result = inputNumber=290, squareRes=17.029386365926403, delay=187, status=PASS
result = inputNumber=635, squareRes=25.199206336708304, delay=191, status=PASS
result = inputNumber=418, squareRes=20.445048300260872, delay=186, status=PASS
result = inputNumber=417, squareRes=20.42057785666214, delay=202, status=FAIL
result = inputNumber=419, squareRes=20.46948949045872, delay=190, status=PASS
result = inputNumber=997, squareRes=31.575306807693888, delay=192, status=PASS
result = inputNumber=677, squareRes=26.019223662515376, delay=189, status=PASS
result = inputNumber=875, squareRes=29.58039891549808, delay=216, status=FAIL
result = inputNumber=347, squareRes=18.627936010197157, delay=207, status=FAIL
result = inputNumber=850, squareRes=29.154759474226502, delay=161, status=PASS
result = inputNumber=15, squareRes=3.872983346207417, delay=168, status=PASS
result = inputNumber=474, squareRes=21.77154105707724, delay=196, status=PASS
result = inputNumber=823, squareRes=28.687976575562104, delay=236, status=FAIL
result = inputNumber=556, squareRes=23.57965224510319, delay=175, status=PASS
result = inputNumber=278, squareRes=16.673332000533065, delay=197, status=PASS
result = inputNumber=47, squareRes=6.855654600401044, delay=177, status=PASS
result = inputNumber=403, squareRes=20.074859899884732, delay=200, status=PASS
result = inputNumber=994, squareRes=31.52776554086889, delay=190, status=PASS
result = inputNumber=95, squareRes=9.746794344808963, delay=185, status=PASS
result = inputNumber=100, squareRes=10.0, delay=221, status=FAIL
result = inputNumber=11, squareRes=3.3166247903554, delay=201, status=FAIL
result = inputNumber=664, squareRes=25.768197453450252, delay=221, status=FAIL
result = inputNumber=282, squareRes=16.792855623746664, delay=191, status=PASS
result = inputNumber=253, squareRes=15.905973720586866, delay=190, status=PASS
result = inputNumber=0, squareRes=0.0, delay=227, status=FAIL
result = inputNumber=405, squareRes=20.12461179749811, delay=232, status=FAIL
result = inputNumber=657, squareRes=25.632011235952593, delay=225, status=FAIL
result = inputNumber=768, squareRes=27.712812921102035, delay=207, status=FAIL
result = inputNumber=229, squareRes=15.132745950421556, delay=222, status=FAIL
result = inputNumber=373, squareRes=19.313207915827967, delay=228, status=FAIL
result = inputNumber=352, squareRes=18.76166303929372, delay=294, status=FAIL
result = inputNumber=291, squareRes=17.05872210923198, delay=238, status=FAIL
result = inputNumber=524, squareRes=22.891046284519195, delay=220, status=FAIL
result = inputNumber=856, squareRes=29.257477676655586, delay=224, status=FAIL
result = inputNumber=666, squareRes=25.80697580112788, delay=209, status=FAIL
result = inputNumber=345, squareRes=18.57417562100671, delay=241, status=FAIL
result = inputNumber=484, squareRes=22.0, delay=237, status=FAIL
