result = inputNumber=887, squareRes=29.782545223670862, delay=133, status=PASS
result = inputNumber=182, squareRes=13.490737563232042, delay=141, status=PASS
result = inputNumber=576, squareRes=24.0, delay=158, status=PASS
result = inputNumber=896, squareRes=29.93325909419153, delay=159, status=PASS
result = inputNumber=397, squareRes=19.924858845171276, delay=165, status=PASS
result = inputNumber=415, squareRes=20.37154878746336, delay=166, status=PASS
result = inputNumber=87, squareRes=9.327379053088816, delay=169, status=PASS
result = inputNumber=62, squareRes=7.874007874011811, delay=174, status=PASS
result = inputNumber=518, squareRes=22.759613353482084, delay=180, status=PASS
result = inputNumber=582, squareRes=24.124676163629637, delay=193, status=PASS
result = inputNumber=280, squareRes=16.73320053068151, delay=150, status=PASS
result = inputNumber=964, squareRes=31.04834939252005, delay=149, status=PASS
result = inputNumber=277, squareRes=16.64331697709324, delay=149, status=PASS
result = inputNumber=107, squareRes=10.344080432788601, delay=177, status=PASS
result = inputNumber=552, squareRes=23.49468024894146, delay=164, status=PASS
result = inputNumber=228, squareRes=15.0996688705415, delay=164, status=PASS
result = inputNumber=429, squareRes=20.71231517720798, delay=177, status=PASS
result = inputNumber=850, squareRes=29.154759474226502, delay=165, status=PASS
result = inputNumber=400, squareRes=20.0, delay=145, status=PASS
result = inputNumber=618, squareRes=24.859605789312106, delay=169, status=PASS
result = inputNumber=588, squareRes=24.24871130596428, delay=144, status=PASS
result = inputNumber=649, squareRes=25.475478405713993, delay=163, status=PASS
result = inputNumber=933, squareRes=30.54504869860253, delay=149, status=PASS
result = inputNumber=549, squareRes=23.430749027719962, delay=143, status=PASS
result = inputNumber=311, squareRes=17.635192088548397, delay=156, status=PASS
result = inputNumber=184, squareRes=13.564659966250536, delay=177, status=PASS
result = inputNumber=545, squareRes=23.345235059857504, delay=159, status=PASS
result = inputNumber=838, squareRes=28.948229652260256, delay=179, status=PASS
result = inputNumber=465, squareRes=21.563858652847824, delay=169, status=PASS
result = inputNumber=401, squareRes=20.024984394500787, delay=184, status=PASS
result = inputNumber=894, squareRes=29.899832775452108, delay=150, status=PASS
result = inputNumber=186, squareRes=13.638181696985855, delay=154, status=PASS
