inputNumber=48, squareRes=6.928203230275509, delay=160, status=PASS
inputNumber=44, squareRes=6.6332495807108, delay=160, status=PASS
inputNumber=937, squareRes=30.610455730027933, delay=159, status=PASS
inputNumber=957, squareRes=30.93541659651604, delay=154, status=PASS
inputNumber=58, squareRes=7.615773105863909, delay=150, status=PASS
inputNumber=562, squareRes=23.706539182259394, delay=167, status=PASS
inputNumber=375, squareRes=19.364916731037084, delay=148, status=PASS
inputNumber=381, squareRes=19.519221295943137, delay=171, status=PASS
inputNumber=38, squareRes=6.164414002968976, delay=149, status=PASS
inputNumber=422, squareRes=20.54263858417414, delay=162, status=PASS
inputNumber=432, squareRes=20.784609690826528, delay=148, status=PASS
inputNumber=511, squareRes=22.60530911091463, delay=156, status=PASS
inputNumber=70, squareRes=8.366600265340756, delay=162, status=PASS
inputNumber=129, squareRes=11.357816691600547, delay=167, status=PASS
inputNumber=33, squareRes=5.744562646538029, delay=163, status=PASS
inputNumber=134, squareRes=11.575836902790225, delay=162, status=PASS
inputNumber=784, squareRes=28.0, delay=152, status=PASS
inputNumber=327, squareRes=18.083141320025124, delay=172, status=PASS
inputNumber=407, squareRes=20.174241001832016, delay=155, status=PASS
inputNumber=524, squareRes=22.891046284519195, delay=171, status=PASS
inputNumber=234, squareRes=15.297058540778355, delay=163, status=PASS
inputNumber=926, squareRes=30.430248109405877, delay=148, status=PASS
inputNumber=556, squareRes=23.57965224510319, delay=149, status=PASS
inputNumber=398, squareRes=19.949937343260004, delay=159, status=PASS
inputNumber=888, squareRes=29.79932885150268, delay=148, status=PASS
inputNumber=599, squareRes=24.474476501040833, delay=167, status=PASS
inputNumber=222, squareRes=14.89966442575134, delay=157, status=PASS
inputNumber=5, squareRes=2.23606797749979, delay=157, status=PASS
inputNumber=333, squareRes=18.24828759089466, delay=189, status=PASS
inputNumber=993, squareRes=31.51190251317746, delay=162, status=PASS
inputNumber=205, squareRes=14.317821063276353, delay=150, status=PASS
inputNumber=881, squareRes=29.68164415931166, delay=150, status=PASS
inputNumber=871, squareRes=29.512709126747414, delay=143, status=PASS
inputNumber=175, squareRes=13.228756555322953, delay=161, status=PASS
inputNumber=970, squareRes=31.144823004794873, delay=168, status=PASS
inputNumber=667, squareRes=25.826343140289914, delay=154, status=PASS
inputNumber=708, squareRes=26.60826939130014, delay=141, status=PASS
inputNumber=697, squareRes=26.40075756488817, delay=151, status=PASS
inputNumber=180, squareRes=13.416407864998739, delay=177, status=PASS
inputNumber=58, squareRes=7.615773105863909, delay=147, status=PASS
inputNumber=135, squareRes=11.61895003862225, delay=163, status=PASS
inputNumber=291, squareRes=17.05872210923198, delay=170, status=PASS
inputNumber=326, squareRes=18.05547008526779, delay=182, status=PASS
inputNumber=72, squareRes=8.48528137423857, delay=161, status=PASS
inputNumber=554, squareRes=23.53720459187964, delay=146, status=PASS
inputNumber=268, squareRes=16.3707055437449, delay=152, status=PASS
inputNumber=915, squareRes=30.24896692450835, delay=140, status=PASS
inputNumber=845, squareRes=29.068883707497267, delay=132, status=PASS
inputNumber=37, squareRes=6.082762530298219, delay=171, status=PASS
inputNumber=810, squareRes=28.460498941515414, delay=162, status=PASS
inputNumber=205, squareRes=14.317821063276353, delay=144, status=PASS
inputNumber=346, squareRes=18.601075237738275, delay=166, status=PASS
inputNumber=289, squareRes=17.0, delay=155, status=PASS
inputNumber=247, squareRes=15.716233645501712, delay=147, status=PASS
inputNumber=507, squareRes=22.516660498395403, delay=140, status=PASS
inputNumber=791, squareRes=28.124722220850465, delay=167, status=PASS
inputNumber=678, squareRes=26.038433132583073, delay=147, status=PASS
inputNumber=302, squareRes=17.378147196982766, delay=157, status=PASS
inputNumber=776, squareRes=27.85677655436824, delay=177, status=PASS
inputNumber=799, squareRes=28.26658805020514, delay=161, status=PASS
inputNumber=263, squareRes=16.217274740226856, delay=168, status=PASS
inputNumber=591, squareRes=24.310491562286437, delay=160, status=PASS
inputNumber=761, squareRes=27.586228448267445, delay=181, status=PASS
inputNumber=34, squareRes=5.830951894845301, delay=151, status=PASS
inputNumber=666, squareRes=25.80697580112788, delay=189, status=PASS
inputNumber=792, squareRes=28.142494558940577, delay=159, status=PASS
inputNumber=740, squareRes=27.202941017470888, delay=164, status=PASS
inputNumber=284, squareRes=16.852299546352718, delay=141, status=PASS
inputNumber=26, squareRes=5.0990195135927845, delay=158, status=PASS
inputNumber=348, squareRes=18.65475810617763, delay=163, status=PASS
inputNumber=173, squareRes=13.152946437965905, delay=169, status=PASS
inputNumber=848, squareRes=29.120439557122072, delay=152, status=PASS
inputNumber=431, squareRes=20.760539492026695, delay=151, status=PASS
inputNumber=785, squareRes=28.0178514522438, delay=134, status=PASS
inputNumber=591, squareRes=24.310491562286437, delay=132, status=PASS
inputNumber=364, squareRes=19.078784028338912, delay=133, status=PASS
inputNumber=165, squareRes=12.84523257866513, delay=147, status=PASS
inputNumber=659, squareRes=25.67099530598687, delay=158, status=PASS
inputNumber=592, squareRes=24.331050121192877, delay=153, status=PASS
inputNumber=111, squareRes=10.535653752852738, delay=172, status=PASS
inputNumber=103, squareRes=10.14889156509222, delay=155, status=PASS
inputNumber=344, squareRes=18.547236990991408, delay=169, status=PASS
inputNumber=776, squareRes=27.85677655436824, delay=172, status=PASS
inputNumber=810, squareRes=28.460498941515414, delay=162, status=PASS
inputNumber=383, squareRes=19.570385790780925, delay=155, status=PASS
inputNumber=717, squareRes=26.77685567799177, delay=155, status=PASS
inputNumber=858, squareRes=29.29163703175362, delay=144, status=PASS
inputNumber=153, squareRes=12.36931687685298, delay=139, status=PASS
inputNumber=980, squareRes=31.304951684997057, delay=166, status=PASS
inputNumber=885, squareRes=29.748949561287034, delay=176, status=PASS
inputNumber=968, squareRes=31.11269837220809, delay=158, status=PASS
inputNumber=328, squareRes=18.110770276274835, delay=164, status=PASS
inputNumber=609, squareRes=24.677925358506133, delay=157, status=PASS
inputNumber=95, squareRes=9.746794344808963, delay=150, status=PASS
inputNumber=136, squareRes=11.661903789690601, delay=170, status=PASS
inputNumber=566, squareRes=23.790754506740637, delay=174, status=PASS
inputNumber=319, squareRes=17.86057109949175, delay=160, status=PASS
inputNumber=251, squareRes=15.84297951775486, delay=155, status=PASS
inputNumber=191, squareRes=13.820274961085254, delay=155, status=PASS
inputNumber=327, squareRes=18.083141320025124, delay=168, status=PASS
inputNumber=980, squareRes=31.304951684997057, delay=160, status=PASS
inputNumber=105, squareRes=10.246950765959598, delay=162, status=PASS
inputNumber=376, squareRes=19.390719429665317, delay=174, status=PASS
inputNumber=50, squareRes=7.0710678118654755, delay=167, status=PASS
inputNumber=179, squareRes=13.379088160259652, delay=185, status=PASS
inputNumber=889, squareRes=29.816103031751148, delay=163, status=PASS
inputNumber=338, squareRes=18.384776310850235, delay=137, status=PASS
inputNumber=501, squareRes=22.38302928559939, delay=172, status=PASS
inputNumber=568, squareRes=23.83275057562597, delay=165, status=PASS
inputNumber=978, squareRes=31.272991542223778, delay=142, status=PASS
inputNumber=323, squareRes=17.97220075561143, delay=147, status=PASS
inputNumber=598, squareRes=24.454038521274967, delay=154, status=PASS
inputNumber=830, squareRes=28.809720581775867, delay=139, status=PASS
inputNumber=660, squareRes=25.69046515733026, delay=146, status=PASS
inputNumber=803, squareRes=28.337254630609507, delay=146, status=PASS
inputNumber=220, squareRes=14.832396974191326, delay=171, status=PASS
inputNumber=346, squareRes=18.601075237738275, delay=155, status=PASS
inputNumber=419, squareRes=20.46948949045872, delay=167, status=PASS
inputNumber=65, squareRes=8.06225774829855, delay=159, status=PASS
inputNumber=959, squareRes=30.967725134404045, delay=165, status=PASS
inputNumber=419, squareRes=20.46948949045872, delay=150, status=PASS
inputNumber=74, squareRes=8.602325267042627, delay=172, status=PASS
inputNumber=872, squareRes=29.5296461204668, delay=151, status=PASS
inputNumber=403, squareRes=20.074859899884732, delay=146, status=PASS
inputNumber=744, squareRes=27.27636339397171, delay=146, status=PASS
inputNumber=324, squareRes=18.0, delay=143, status=PASS
inputNumber=749, squareRes=27.367864366808018, delay=153, status=PASS
inputNumber=398, squareRes=19.949937343260004, delay=159, status=PASS
inputNumber=674, squareRes=25.96150997149434, delay=162, status=PASS
inputNumber=77, squareRes=8.774964387392123, delay=166, status=PASS
inputNumber=310, squareRes=17.60681686165901, delay=138, status=PASS
inputNumber=806, squareRes=28.39013913315678, delay=167, status=PASS
inputNumber=846, squareRes=29.086079144497972, delay=148, status=PASS
inputNumber=476, squareRes=21.817424229271428, delay=150, status=PASS
inputNumber=746, squareRes=27.313000567495326, delay=164, status=PASS
inputNumber=71, squareRes=8.426149773176359, delay=171, status=PASS
inputNumber=68, squareRes=8.246211251235321, delay=174, status=PASS
inputNumber=536, squareRes=23.15167380558045, delay=156, status=PASS
inputNumber=733, squareRes=27.073972741361768, delay=157, status=PASS
inputNumber=610, squareRes=24.698178070456937, delay=148, status=PASS
inputNumber=437, squareRes=20.904544960366874, delay=170, status=PASS
inputNumber=989, squareRes=31.448370387032774, delay=151, status=PASS
inputNumber=237, squareRes=15.394804318340652, delay=149, status=PASS
inputNumber=539, squareRes=23.2163735324878, delay=160, status=PASS
inputNumber=835, squareRes=28.89636655359978, delay=158, status=PASS
inputNumber=329, squareRes=18.138357147217054, delay=147, status=PASS
inputNumber=388, squareRes=19.697715603592208, delay=153, status=PASS
inputNumber=185, squareRes=13.601470508735444, delay=157, status=PASS
inputNumber=912, squareRes=30.199337741083, delay=118, status=PASS
inputNumber=352, squareRes=18.76166303929372, delay=156, status=PASS
inputNumber=803, squareRes=28.337254630609507, delay=137, status=PASS
inputNumber=947, squareRes=30.773365106858236, delay=174, status=PASS
inputNumber=86, squareRes=9.273618495495704, delay=150, status=PASS
inputNumber=729, squareRes=27.0, delay=148, status=PASS
inputNumber=870, squareRes=29.49576240750525, delay=155, status=PASS
inputNumber=368, squareRes=19.183326093250876, delay=182, status=PASS
inputNumber=579, squareRes=24.06241883103193, delay=141, status=PASS
inputNumber=0, squareRes=0.0, delay=164, status=PASS
inputNumber=293, squareRes=17.11724276862369, delay=158, status=PASS
inputNumber=193, squareRes=13.892443989449804, delay=139, status=PASS
inputNumber=790, squareRes=28.106938645110393, delay=140, status=PASS
inputNumber=198, squareRes=14.071247279470288, delay=164, status=PASS
inputNumber=135, squareRes=11.61895003862225, delay=162, status=PASS
inputNumber=917, squareRes=30.28200785945344, delay=162, status=PASS
inputNumber=192, squareRes=13.856406460551018, delay=153, status=PASS
inputNumber=306, squareRes=17.4928556845359, delay=180, status=PASS
inputNumber=324, squareRes=18.0, delay=158, status=PASS
inputNumber=155, squareRes=12.449899597988733, delay=160, status=PASS
inputNumber=19, squareRes=4.358898943540674, delay=165, status=PASS
inputNumber=776, squareRes=27.85677655436824, delay=161, status=PASS
inputNumber=926, squareRes=30.430248109405877, delay=157, status=PASS
inputNumber=576, squareRes=24.0, delay=183, status=PASS
inputNumber=355, squareRes=18.841443681416774, delay=162, status=PASS
inputNumber=411, squareRes=20.273134932713294, delay=158, status=PASS
inputNumber=309, squareRes=17.578395831246947, delay=154, status=PASS
inputNumber=731, squareRes=27.03701166919155, delay=143, status=PASS
inputNumber=88, squareRes=9.38083151964686, delay=146, status=PASS
inputNumber=71, squareRes=8.426149773176359, delay=167, status=PASS
inputNumber=317, squareRes=17.804493814764857, delay=155, status=PASS
inputNumber=967, squareRes=31.096623610932426, delay=157, status=PASS
inputNumber=839, squareRes=28.965496715920477, delay=145, status=PASS
inputNumber=839, squareRes=28.965496715920477, delay=144, status=PASS
inputNumber=355, squareRes=18.841443681416774, delay=159, status=PASS
inputNumber=990, squareRes=31.464265445104548, delay=176, status=PASS
inputNumber=372, squareRes=19.28730152198591, delay=146, status=PASS
inputNumber=718, squareRes=26.795522013948524, delay=193, status=PASS
inputNumber=390, squareRes=19.748417658131498, delay=132, status=PASS
inputNumber=479, squareRes=21.88606862823929, delay=161, status=PASS
inputNumber=992, squareRes=31.496031496047245, delay=142, status=PASS
